[2025-10-30 10:18:25] [INFO] ================================================================================
[2025-10-30 10:18:25] [INFO] Complete Bible Extraction Started (Audio + Text + Versions)
[2025-10-30 10:18:25] [INFO] ================================================================================
[2025-10-30 10:18:25] [INFO] Scanning: C:\Users\SamYar\Desktop\Bible\www.bible.com\fa\bible
[2025-10-30 10:18:25] [INFO] Processing version: 118
[2025-10-30 10:18:25] [INFO] ✓ Found version: هزارۀ نو (nmv)
[2025-10-30 10:18:44] [INFO] ✓ 1PE 1 (nmv): 25 verses
[2025-10-30 10:18:44] [INFO] ✓ 1PE 2 (nmv): 25 verses
[2025-10-30 10:18:44] [INFO] ✓ 1PE 3 (nmv): 22 verses
[2025-10-30 10:18:44] [INFO] ✓ 1PE 4 (nmv): 19 verses
[2025-10-30 10:18:45] [INFO] ✓ 1PE 5 (nmv): 14 verses
[2025-10-30 10:18:45] [INFO] ✓ 1SA 1 (nmv): 28 verses
[2025-10-30 10:18:45] [INFO] ✓ 1SA 10 (nmv): 27 verses
[2025-10-30 10:18:46] [INFO] ✓ 1SA 11 (nmv): 15 verses
[2025-10-30 10:18:46] [INFO] ✓ 1SA 12 (nmv): 25 verses
[2025-10-30 10:18:46] [INFO] ✓ 1SA 13 (nmv): 23 verses
[2025-10-30 10:18:46] [INFO] ✓ 1SA 14 (nmv): 52 verses
[2025-10-30 10:18:47] [INFO] ✓ 1SA 15 (nmv): 35 verses
[2025-10-30 10:18:47] [INFO] ✓ 1SA 16 (nmv): 23 verses
[2025-10-30 10:18:47] [INFO] ✓ 1SA 17 (nmv): 58 verses
[2025-10-30 10:18:47] [INFO] ✓ 1SA 18 (nmv): 30 verses
[2025-10-30 10:18:48] [INFO] ✓ 1SA 19 (nmv): 24 verses
[2025-10-30 10:18:48] [INFO] ✓ 1SA 2 (nmv): 36 verses
[2025-10-30 10:18:48] [INFO] ✓ 1SA 20 (nmv): 42 verses
[2025-10-30 10:18:48] [INFO] ✓ 1SA 21 (nmv): 15 verses
[2025-10-30 10:18:49] [INFO] ✓ 1SA 22 (nmv): 23 verses
[2025-10-30 10:18:49] [INFO] ✓ 1SA 23 (nmv): 29 verses
[2025-10-30 10:18:49] [INFO] ✓ 1SA 24 (nmv): 22 verses
[2025-10-30 10:18:49] [INFO] ✓ 1SA 25 (nmv): 44 verses
[2025-10-30 10:18:50] [INFO] ✓ 1SA 26 (nmv): 25 verses
[2025-10-30 10:18:50] [INFO] ✓ 1SA 27 (nmv): 12 verses
[2025-10-30 10:18:50] [INFO] ✓ 1SA 28 (nmv): 25 verses
[2025-10-30 10:18:51] [INFO] ✓ 1SA 29 (nmv): 11 verses
[2025-10-30 10:18:51] [INFO] ✓ 1SA 3 (nmv): 21 verses
[2025-10-30 10:18:51] [INFO] ✓ 1SA 30 (nmv): 31 verses
[2025-10-30 10:18:51] [INFO] ✓ 1SA 31 (nmv): 13 verses
[2025-10-30 10:18:52] [INFO] ✓ 1SA 4 (nmv): 22 verses
[2025-10-30 10:18:52] [INFO] ✓ 1SA 5 (nmv): 12 verses
[2025-10-30 10:18:52] [INFO] ✓ 1SA 6 (nmv): 21 verses
[2025-10-30 10:18:53] [INFO] ✓ 1SA 7 (nmv): 17 verses
[2025-10-30 10:18:53] [INFO] ✓ 1SA 8 (nmv): 22 verses
[2025-10-30 10:18:53] [INFO] ✓ 1SA 9 (nmv): 27 verses
[2025-10-30 10:18:53] [INFO] ✓ 1TH 1 (nmv): 10 verses
[2025-10-30 10:18:54] [INFO] ✓ 1TH 2 (nmv): 20 verses
[2025-10-30 10:18:54] [INFO] ✓ 1TH 3 (nmv): 13 verses
[2025-10-30 10:18:54] [INFO] ✓ 1TH 4 (nmv): 18 verses
[2025-10-30 10:18:54] [INFO] ✓ 1TH 5 (nmv): 28 verses
[2025-10-30 10:18:55] [INFO] ✓ 1TI 1 (nmv): 20 verses
[2025-10-30 10:18:55] [INFO] ✓ 1TI 2 (nmv): 15 verses
[2025-10-30 10:18:55] [INFO] ✓ 1TI 3 (nmv): 16 verses
[2025-10-30 10:18:55] [INFO] ✓ 1TI 4 (nmv): 16 verses
[2025-10-30 10:18:55] [INFO] ✓ 1TI 5 (nmv): 25 verses
[2025-10-30 10:18:56] [INFO] ✓ 1TI 6 (nmv): 21 verses
[2025-10-30 10:18:56] [INFO] ✓ 2CH 1 (nmv): 17 verses
[2025-10-30 10:18:56] [INFO] ✓ 2CH 10 (nmv): 19 verses
[2025-10-30 10:18:56] [INFO] ✓ 2CH 11 (nmv): 23 verses
[2025-10-30 10:18:57] [INFO] ✓ 2CH 12 (nmv): 16 verses
[2025-10-30 10:18:57] [INFO] ✓ 2CH 13 (nmv): 22 verses
[2025-10-30 10:18:57] [INFO] ✓ 2CH 14 (nmv): 15 verses
[2025-10-30 10:18:57] [INFO] ✓ 2CH 15 (nmv): 19 verses
[2025-10-30 10:18:58] [INFO] ✓ 2CH 16 (nmv): 14 verses
[2025-10-30 10:18:58] [INFO] ✓ 2CH 17 (nmv): 19 verses
[2025-10-30 10:18:58] [INFO] ✓ 2CH 18 (nmv): 34 verses
[2025-10-30 10:18:58] [INFO] ✓ 2CH 19 (nmv): 11 verses
[2025-10-30 10:18:59] [INFO] ✓ 2CH 2 (nmv): 18 verses
[2025-10-30 10:18:59] [INFO] ✓ 2CH 20 (nmv): 37 verses
[2025-10-30 10:18:59] [INFO] ✓ 2CH 21 (nmv): 20 verses
[2025-10-30 10:18:59] [INFO] ✓ 2CH 22 (nmv): 12 verses
[2025-10-30 10:19:00] [INFO] ✓ 2CH 23 (nmv): 21 verses
[2025-10-30 10:19:00] [INFO] ✓ 2CH 24 (nmv): 27 verses
[2025-10-30 10:19:00] [INFO] ✓ 2CH 25 (nmv): 28 verses
[2025-10-30 10:19:00] [INFO] ✓ 2CH 26 (nmv): 23 verses
[2025-10-30 10:19:01] [INFO] ✓ 2CH 27 (nmv): 9 verses
[2025-10-30 10:19:01] [INFO] ✓ 2CH 28 (nmv): 27 verses
[2025-10-30 10:19:01] [INFO] ✓ 2CH 29 (nmv): 36 verses
[2025-10-30 10:19:01] [INFO] ✓ 2CH 3 (nmv): 17 verses
[2025-10-30 10:19:02] [INFO] ✓ 2CH 30 (nmv): 27 verses
[2025-10-30 10:19:02] [INFO] ✓ 2CH 31 (nmv): 21 verses
[2025-10-30 10:19:02] [INFO] ✓ 2CH 32 (nmv): 33 verses
[2025-10-30 10:19:02] [INFO] ✓ 2CH 33 (nmv): 25 verses
[2025-10-30 10:19:03] [INFO] ✓ 2CH 34 (nmv): 33 verses
[2025-10-30 10:19:03] [INFO] ✓ 2CH 35 (nmv): 27 verses
[2025-10-30 10:19:03] [INFO] ✓ 2CH 36 (nmv): 23 verses
[2025-10-30 10:19:03] [INFO] ✓ 2CH 4 (nmv): 22 verses
[2025-10-30 10:19:04] [INFO] ✓ 2CH 5 (nmv): 14 verses
[2025-10-30 10:19:04] [INFO] ✓ 2CH 6 (nmv): 42 verses
[2025-10-30 10:19:04] [INFO] ✓ 2CH 7 (nmv): 22 verses
[2025-10-30 10:19:04] [INFO] ✓ 2CH 8 (nmv): 18 verses
[2025-10-30 10:19:05] [INFO] ✓ 2CH 9 (nmv): 31 verses
[2025-10-30 10:19:05] [INFO] ✓ 2CO 1 (nmv): 24 verses
[2025-10-30 10:19:05] [INFO] ✓ 2CO 10 (nmv): 18 verses
[2025-10-30 10:19:05] [INFO] ✓ 2CO 11 (nmv): 33 verses
[2025-10-30 10:19:06] [INFO] ✓ 2CO 12 (nmv): 21 verses
[2025-10-30 10:19:06] [INFO] ✓ 2CO 13 (nmv): 14 verses
[2025-10-30 10:19:06] [INFO] ✓ 2CO 2 (nmv): 17 verses
[2025-10-30 10:19:06] [INFO] ✓ 2CO 3 (nmv): 18 verses
[2025-10-30 10:19:07] [INFO] ✓ 2CO 4 (nmv): 18 verses
[2025-10-30 10:19:07] [INFO] ✓ 2CO 5 (nmv): 21 verses
[2025-10-30 10:19:07] [INFO] ✓ 2CO 6 (nmv): 18 verses
[2025-10-30 10:19:07] [INFO] ✓ 2CO 7 (nmv): 16 verses
[2025-10-30 10:19:08] [INFO] ✓ 2CO 8 (nmv): 24 verses
[2025-10-30 10:19:08] [INFO] ✓ 2CO 9 (nmv): 15 verses
[2025-10-30 10:19:08] [INFO] ✓ 2JN 1 (nmv): 13 verses
[2025-10-30 10:19:08] [INFO] ✓ 2KI 1 (nmv): 18 verses
[2025-10-30 10:19:08] [INFO] ✓ 2KI 10 (nmv): 36 verses
[2025-10-30 10:19:09] [INFO] ✓ 2KI 11 (nmv): 21 verses
[2025-10-30 10:19:09] [INFO] ✓ 2KI 12 (nmv): 21 verses
[2025-10-30 10:19:09] [INFO] ✓ 2KI 13 (nmv): 25 verses
[2025-10-30 10:19:09] [INFO] ✓ 2KI 14 (nmv): 29 verses
[2025-10-30 10:19:10] [INFO] ✓ 2KI 15 (nmv): 38 verses
[2025-10-30 10:19:10] [INFO] ✓ 2KI 16 (nmv): 20 verses
[2025-10-30 10:19:10] [INFO] ✓ 2KI 17 (nmv): 41 verses
[2025-10-30 10:19:10] [INFO] ✓ 2KI 18 (nmv): 37 verses
[2025-10-30 10:19:11] [INFO] ✓ 2KI 19 (nmv): 37 verses
[2025-10-30 10:19:11] [INFO] ✓ 2KI 2 (nmv): 25 verses
[2025-10-30 10:19:11] [INFO] ✓ 2KI 20 (nmv): 21 verses
[2025-10-30 10:19:11] [INFO] ✓ 2KI 21 (nmv): 26 verses
[2025-10-30 10:19:12] [INFO] ✓ 2KI 22 (nmv): 20 verses
[2025-10-30 10:19:12] [INFO] ✓ 2KI 23 (nmv): 37 verses
[2025-10-30 10:19:12] [INFO] ✓ 2KI 24 (nmv): 20 verses
[2025-10-30 10:19:12] [INFO] ✓ 2KI 25 (nmv): 30 verses
[2025-10-30 10:19:13] [INFO] ✓ 2KI 3 (nmv): 27 verses
[2025-10-30 10:19:13] [INFO] ✓ 2KI 4 (nmv): 44 verses
[2025-10-30 10:19:13] [INFO] ✓ 2KI 5 (nmv): 27 verses
[2025-10-30 10:19:13] [INFO] ✓ 2KI 6 (nmv): 33 verses
[2025-10-30 10:19:14] [INFO] ✓ 2KI 7 (nmv): 20 verses
[2025-10-30 10:19:14] [INFO] ✓ 2KI 8 (nmv): 29 verses
[2025-10-30 10:19:14] [INFO] ✓ 2KI 9 (nmv): 37 verses
[2025-10-30 10:19:14] [INFO] ✓ 2PE 1 (nmv): 21 verses
[2025-10-30 10:19:15] [INFO] ✓ 2PE 2 (nmv): 22 verses
[2025-10-30 10:19:15] [INFO] ✓ 2PE 3 (nmv): 18 verses
[2025-10-30 10:19:15] [INFO] ✓ 2SA 1 (nmv): 27 verses
[2025-10-30 10:19:15] [INFO] ✓ 2SA 10 (nmv): 19 verses
[2025-10-30 10:19:16] [INFO] ✓ 2SA 11 (nmv): 27 verses
[2025-10-30 10:19:16] [INFO] ✓ 2SA 12 (nmv): 31 verses
[2025-10-30 10:19:16] [INFO] ✓ 2SA 13 (nmv): 39 verses
[2025-10-30 10:19:16] [INFO] ✓ 2SA 14 (nmv): 33 verses
[2025-10-30 10:19:17] [INFO] ✓ 2SA 15 (nmv): 37 verses
[2025-10-30 10:19:17] [INFO] ✓ 2SA 16 (nmv): 23 verses
[2025-10-30 10:19:17] [INFO] ✓ 2SA 17 (nmv): 29 verses
[2025-10-30 10:19:17] [INFO] ✓ 2SA 18 (nmv): 33 verses
[2025-10-30 10:19:18] [INFO] ✓ 2SA 19 (nmv): 43 verses
[2025-10-30 10:19:18] [INFO] ✓ 2SA 2 (nmv): 32 verses
[2025-10-30 10:19:18] [INFO] ✓ 2SA 20 (nmv): 26 verses
[2025-10-30 10:19:18] [INFO] ✓ 2SA 21 (nmv): 22 verses
[2025-10-30 10:19:19] [INFO] ✓ 2SA 22 (nmv): 51 verses
[2025-10-30 10:19:19] [INFO] ✓ 2SA 23 (nmv): 39 verses
[2025-10-30 10:19:19] [INFO] ✓ 2SA 24 (nmv): 25 verses
[2025-10-30 10:19:20] [INFO] ✓ 2SA 3 (nmv): 39 verses
[2025-10-30 10:19:20] [INFO] ✓ 2SA 4 (nmv): 12 verses
[2025-10-30 10:19:20] [INFO] ✓ 2SA 5 (nmv): 25 verses
[2025-10-30 10:19:21] [INFO] ✓ 2SA 6 (nmv): 23 verses
[2025-10-30 10:19:21] [INFO] ✓ 2SA 7 (nmv): 29 verses
[2025-10-30 10:19:21] [INFO] ✓ 2SA 8 (nmv): 18 verses
[2025-10-30 10:19:21] [INFO] ✓ 2SA 9 (nmv): 13 verses
[2025-10-30 10:19:22] [INFO] ✓ 2TH 1 (nmv): 12 verses
[2025-10-30 10:19:22] [INFO] ✓ 2TH 2 (nmv): 17 verses
[2025-10-30 10:19:22] [INFO] ✓ 2TH 3 (nmv): 18 verses
[2025-10-30 10:19:23] [INFO] ✓ 2TI 1 (nmv): 18 verses
[2025-10-30 10:19:23] [INFO] ✓ 2TI 2 (nmv): 26 verses
[2025-10-30 10:19:23] [INFO] ✓ 2TI 3 (nmv): 17 verses
[2025-10-30 10:19:23] [INFO] ✓ 2TI 4 (nmv): 22 verses
[2025-10-30 10:19:24] [INFO] ✓ 3JN 1 (nmv): 15 verses
[2025-10-30 10:19:24] [INFO] ✓ ACT 1 (nmv): 26 verses
[2025-10-30 10:19:24] [INFO] ✓ ACT 10 (nmv): 48 verses
[2025-10-30 10:19:24] [INFO] ✓ ACT 11 (nmv): 30 verses
[2025-10-30 10:19:25] [INFO] ✓ ACT 12 (nmv): 25 verses
[2025-10-30 10:19:25] [INFO] ✓ ACT 13 (nmv): 52 verses
[2025-10-30 10:19:25] [INFO] ✓ ACT 14 (nmv): 28 verses
[2025-10-30 10:19:26] [INFO] ✓ ACT 15 (nmv): 41 verses
[2025-10-30 10:19:26] [INFO] ✓ ACT 16 (nmv): 40 verses
[2025-10-30 10:19:26] [INFO] ✓ ACT 17 (nmv): 34 verses
[2025-10-30 10:19:27] [INFO] ✓ ACT 18 (nmv): 28 verses
[2025-10-30 10:19:27] [INFO] ✓ ACT 19 (nmv): 41 verses
[2025-10-30 10:19:27] [INFO] ✓ ACT 2 (nmv): 47 verses
[2025-10-30 10:19:28] [INFO] ✓ ACT 20 (nmv): 38 verses
[2025-10-30 10:19:28] [INFO] ✓ ACT 21 (nmv): 40 verses
[2025-10-30 10:19:28] [INFO] ✓ ACT 22 (nmv): 30 verses
[2025-10-30 10:19:29] [INFO] ✓ ACT 23 (nmv): 35 verses
[2025-10-30 10:19:29] [INFO] ✓ ACT 24 (nmv): 27 verses
[2025-10-30 10:19:29] [INFO] ✓ ACT 25 (nmv): 27 verses
[2025-10-30 10:19:30] [INFO] ✓ ACT 26 (nmv): 32 verses
[2025-10-30 10:19:30] [INFO] ✓ ACT 27 (nmv): 44 verses
[2025-10-30 10:19:30] [INFO] ✓ ACT 28 (nmv): 31 verses
[2025-10-30 10:19:30] [INFO] ✓ ACT 3 (nmv): 26 verses
[2025-10-30 10:19:31] [INFO] ✓ ACT 4 (nmv): 37 verses
[2025-10-30 10:19:31] [INFO] ✓ ACT 5 (nmv): 42 verses
[2025-10-30 10:19:31] [INFO] ✓ ACT 6 (nmv): 15 verses
[2025-10-30 10:19:32] [INFO] ✓ ACT 7 (nmv): 60 verses
[2025-10-30 10:19:32] [INFO] ✓ ACT 8 (nmv): 40 verses
[2025-10-30 10:19:32] [INFO] ✓ ACT 9 (nmv): 43 verses
[2025-10-30 10:19:33] [INFO] ✓ AMO 1 (nmv): 15 verses
[2025-10-30 10:19:33] [INFO] ✓ AMO 2 (nmv): 16 verses
[2025-10-30 10:19:33] [INFO] ✓ AMO 3 (nmv): 15 verses
[2025-10-30 10:19:34] [INFO] ✓ AMO 4 (nmv): 13 verses
[2025-10-30 10:19:34] [INFO] ✓ AMO 5 (nmv): 27 verses
[2025-10-30 10:19:34] [INFO] ✓ AMO 6 (nmv): 14 verses
[2025-10-30 10:19:35] [INFO] ✓ AMO 7 (nmv): 17 verses
[2025-10-30 10:19:35] [INFO] ✓ AMO 8 (nmv): 14 verses
