Book	Chapter	Verse	Persian_Text	English_Text	Persian_Audio_URL	English_Audio_URL
GEN	1	18	و بر روز و شب ‌سلطنت‌ نمایند و روشنایی را از تاریكی جدا كنند. خدا، از دیدن‌ آنچه ‌شده‌ بود، خشنود شد.		https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	19	شب‌ گذشت ‌و صبح‌ فرا رسید، این ‌بود روز چهارم‌.		https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	20	پس ‌از آن‌ خدا فرمود: «آبها از انواع‌ جانوران ‌و آسمان ‌از انواع ‌پرندگان ‌پُر شوند»		https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	21	پس‌، خدا جانداران‌ بزرگ‌ دریایی و همهٔ جانورانی كه ‌در آب ‌زندگی می‌كنند و تمام ‌پرندگان ‌آسمان‌ را آفرید. خدا از دیدن‌ آنچه ‌كرده ‌بود، خشنود شد		https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	22	و همهٔ آنها را بركت‌ داد و فرمود تا بارور شوند و دریا را پُر سازند و به ‌پرندگان‌ فرمود: «بارور ‌و كثیر شوید.»		https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	23	شب ‌گذشت‌ و صبح ‌فرا رسید، این ‌بود روز پنجم‌.		https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	24	بعد از آن‌، خدا فرمود: «زمین ‌همه‌ نوع‌ حیوانات به وجود آورد، اهلی و وحشی‌، بزرگ‌ و كوچک‌» و چنین ‌شد.		https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	25	پس‌ خدا، همهٔ آنها را ساخت ‌و از دیدن ‌آنچه‌ انجام‌ شده‌ بود، خشنود شد.		https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	26	پس ‌از آن‌ خدا فرمود: «اینک‌ انسان‌ را بسازیم‌. ایشان‌ مثل‌ ما و شبیه‌ ما باشند و بر ماهیان‌ دریا و پرندگان ‌آسمان ‌و همهٔ حیوانات‌ اهلی و وحشی‌، بزرگ‌ و كوچک‌ و بر تمام ‌زمین‌ حكومت‌ كنند.»		https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	27	پس ‌خدا انسان ‌را شبیه‌ خود آفرید. ایشان ‌را زن و مرد‌ آفرید.		https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	28	آنها را بركت ‌داد و فرمود: «بارور و كثیر شوید. نسل‌ شما در تمام‌ زمین ‌زندگی كند و آن‌ را تحت‌ تسلّط‌ خود درآورد. من‌ شما را بر ماهیان‌ و پرندگان ‌و تمام‌ حیوانات ‌وحشی می‌گمارم‌.		https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	29	هر نوع ‌گیاهی كه‌ غلاّت و دانه بیاورد و هر نوع‌ گیاهی كه‌ میوه ‌بیاورد برای شما آماده‌ كرده‌ام ‌تا بخورید.		https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	30	امّا هر نوع ‌علف ‌سبز را برای خوراک‌ تمام ‌حیوانات‌ و پرندگان‌ آماده ‌كرده‌ام‌» و چنین ‌شد.		https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
GEN	1	31	خدا از دیدن ‌تمام‌ كارهایی‌ كه‌ انجام‌ شده‌ بود، بسیار خشنود گشت‌. شب‌ گذشت‌ و صبح ‌فرا رسید. این‌ بود روز ششم‌.		https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/TPV/GEN/1.mp3	https://webdav.hidrive.ionos.com/users/adminchurch/mychurch/bible/audio/ENGLISH/GEN/1.mp3
